code,pred_date,pred_return
000001.SZ,2025-12-30,0.00012959999730810523
000002.SZ,2025-12-30,-0.004078331869095564
000004.SZ,2025-12-30,0.00017059064703062177
000006.SZ,2025-12-30,0.0039044853765517473
000007.SZ,2025-12-30,0.008674561977386475
000008.SZ,2025-12-30,0.0011942748678848147
000009.SZ,2025-12-30,0.003435564925894141
000010.SZ,2025-12-30,0.002138569951057434
000011.SZ,2025-12-30,0.001936634536832571
000012.SZ,2025-12-30,0.0004227272584103048
000014.SZ,2025-12-30,0.0010917827021330595
000016.SZ,2025-12-30,6.134010618552566e-05
000017.SZ,2025-12-30,-0.0036109485663473606
000019.SZ,2025-12-30,1.9898927348549478e-05
000020.SZ,2025-12-30,0.00775308208540082
000021.SZ,2025-12-30,-0.005500718019902706
000025.SZ,2025-12-30,-0.001238466938957572
000026.SZ,2025-12-30,-0.0024742507375776768
000027.SZ,2025-12-30,-0.00205666059628129
000028.SZ,2025-12-30,7.429620018228889e-05
000029.SZ,2025-12-30,-0.007680930197238922
000030.SZ,2025-12-30,0.0007895433809608221
000031.SZ,2025-12-30,0.00094315450405702
000032.SZ,2025-12-30,-0.0015620691701769829
000034.SZ,2025-12-30,0.0017287373775616288
000035.SZ,2025-12-30,-0.0009746788418851793
000036.SZ,2025-12-30,0.007015477865934372
000037.SZ,2025-12-30,-0.0004653756623156369
000039.SZ,2025-12-30,0.002213006606325507
000042.SZ,2025-12-30,0.003171163145452738
000045.SZ,2025-12-30,0.0005842167884111404
000048.SZ,2025-12-30,-0.0004905175301246345
000049.SZ,2025-12-30,0.002239908091723919
000050.SZ,2025-12-30,-0.00043588021071627736
000055.SZ,2025-12-30,0.0038907595444470644
000056.SZ,2025-12-30,0.006532714236527681
000058.SZ,2025-12-30,-0.0036485278978943825
000059.SZ,2025-12-30,0.002008001320064068
000060.SZ,2025-12-30,0.0012755661737173796
000061.SZ,2025-12-30,-0.0005122715956531465
000062.SZ,2025-12-30,-0.00253398809581995
000063.SZ,2025-12-30,-0.008360360749065876
000065.SZ,2025-12-30,-0.0005446997820399702
000066.SZ,2025-12-30,-0.004300826229155064
000068.SZ,2025-12-30,0.00043894111877307296
000069.SZ,2025-12-30,0.0007327813655138016
000070.SZ,2025-12-30,-0.006581665016710758
000078.SZ,2025-12-30,0.0027701095677912235
000088.SZ,2025-12-30,-0.0002606782945804298
000089.SZ,2025-12-30,0.0005354380118660629
000090.SZ,2025-12-30,0.0010932976147159934
000096.SZ,2025-12-30,0.0012078688014298677
000099.SZ,2025-12-30,-0.0009873441886156797
000100.SZ,2025-12-30,0.0009596600430086255
000151.SZ,2025-12-30,0.00019632891053333879
000153.SZ,2025-12-30,0.0011331000132486224
000155.SZ,2025-12-30,0.0006969990208745003
000156.SZ,2025-12-30,-0.0005520283593796194
000157.SZ,2025-12-30,-0.00014306680532172322
000158.SZ,2025-12-30,-0.0035171695053577423
000159.SZ,2025-12-30,0.0038229827769100666
000166.SZ,2025-12-30,-0.0029223626479506493
000300.SH,2025-12-30,-0.000949187611695379
000301.SZ,2025-12-30,0.00013279326958581805
000333.SZ,2025-12-30,0.0008746604435145855
000338.SZ,2025-12-30,-0.0010561032686382532
000400.SZ,2025-12-30,-0.002445037243887782
000401.SZ,2025-12-30,0.0005639362498186529
000402.SZ,2025-12-30,-0.0010423806961625814
000403.SZ,2025-12-30,-0.005227663554251194
000404.SZ,2025-12-30,-0.0012330468744039536
000407.SZ,2025-12-30,0.006430413108319044
000408.SZ,2025-12-30,0.006342204753309488
000409.SZ,2025-12-30,-0.00033478281693533063
000410.SZ,2025-12-30,-0.001704538008198142
000411.SZ,2025-12-30,-0.0033569112420082092
000415.SZ,2025-12-30,0.0009389190236106515
000417.SZ,2025-12-30,0.004347324371337891
000419.SZ,2025-12-30,0.004403800703585148
000420.SZ,2025-12-30,-0.000762175943236798
000421.SZ,2025-12-30,0.0030159184243530035
000422.SZ,2025-12-30,-0.00012747052824124694
000423.SZ,2025-12-30,0.0003719752421602607
000425.SZ,2025-12-30,-0.0013660283293575048
000426.SZ,2025-12-30,-0.001981025096029043
000428.SZ,2025-12-30,0.00430733896791935
000429.SZ,2025-12-30,0.00021678110351786017
000430.SZ,2025-12-30,0.0015240025240927935
000488.SZ,2025-12-30,0.0005181196611374617
000498.SZ,2025-12-30,-0.0005486998124979436
000501.SZ,2025-12-30,0.004236230161041021
000503.SZ,2025-12-30,-0.0019722110591828823
000504.SZ,2025-12-30,0.00015707156853750348
000505.SZ,2025-12-30,0.003950652666389942
000506.SZ,2025-12-30,0.0010923901572823524
000507.SZ,2025-12-30,0.00015018036356195807
000509.SZ,2025-12-30,0.004032417666167021
000510.SZ,2025-12-30,0.02029268443584442
000513.SZ,2025-12-30,-0.0004449330153875053
000514.SZ,2025-12-30,0.0023791666608303785
000516.SZ,2025-12-30,-0.0015619525220245123
000517.SZ,2025-12-30,-0.0005828360444866121
000518.SZ,2025-12-30,0.0006539634196087718
000519.SZ,2025-12-30,0.0008323474321514368
000520.SZ,2025-12-30,0.003879799507558346
000521.SZ,2025-12-30,-0.0014702612534165382
000523.SZ,2025-12-30,0.0015713470056653023
000524.SZ,2025-12-30,-0.0008248392841778696
000525.SZ,2025-12-30,0.002718311967328191
000526.SZ,2025-12-30,-0.005977052263915539
000528.SZ,2025-12-30,-0.0007954863249324262
000529.SZ,2025-12-30,0.0032508661970496178
000530.SZ,2025-12-30,-0.001989438896998763
000531.SZ,2025-12-30,0.0012307795695960522
000532.SZ,2025-12-30,-0.0030722268857061863
000533.SZ,2025-12-30,0.0030874107033014297
000534.SZ,2025-12-30,0.0017408571438863873
000536.SZ,2025-12-30,0.008923914283514023
000537.SZ,2025-12-30,-0.0006683964165858924
000538.SZ,2025-12-30,-0.0004311736556701362
000539.SZ,2025-12-30,-0.0013400621246546507
000541.SZ,2025-12-30,0.0004408533568494022
000543.SZ,2025-12-30,0.0003696103813126683
000544.SZ,2025-12-30,1.3287584806676023e-05
000545.SZ,2025-12-30,0.0051644425839185715
000546.SZ,2025-12-30,0.006555634085088968
000547.SZ,2025-12-30,0.02181859128177166
000548.SZ,2025-12-30,0.0013804540503770113
000550.SZ,2025-12-30,-0.0011664715129882097
000551.SZ,2025-12-30,-0.0014983811415731907
000552.SZ,2025-12-30,-0.0017946509178727865
000553.SZ,2025-12-30,0.0010818815790116787
000554.SZ,2025-12-30,0.0003074306296184659
000555.SZ,2025-12-30,-0.0030423803254961967
000557.SZ,2025-12-30,0.0014455138007178903
000558.SZ,2025-12-30,0.003157536732032895
000559.SZ,2025-12-30,0.0019797233399003744
000560.SZ,2025-12-30,0.0018432565266266465
000561.SZ,2025-12-30,0.001980686094611883
000563.SZ,2025-12-30,-0.0006380365812219679
000564.SZ,2025-12-30,0.00021106860367581248
000565.SZ,2025-12-30,-0.0012236647307872772
000566.SZ,2025-12-30,0.002686013001948595
000567.SZ,2025-12-30,-0.007657237350940704
000568.SZ,2025-12-30,-0.002256985055282712
000570.SZ,2025-12-30,0.0004292074008844793
000571.SZ,2025-12-30,0.0020615526009351015
000572.SZ,2025-12-30,0.004362425766885281
000573.SZ,2025-12-30,0.0017126514576375484
000576.SZ,2025-12-30,-0.0003729089512489736
000581.SZ,2025-12-30,-0.0016527948901057243
000582.SZ,2025-12-30,-0.0021112000104039907
000586.SZ,2025-12-30,0.002892551477998495
000589.SZ,2025-12-30,0.002415602095425129
000590.SZ,2025-12-30,0.0037064289208501577
000591.SZ,2025-12-30,-0.0006326746079139411
000592.SZ,2025-12-30,0.03129865974187851
000593.SZ,2025-12-30,0.008892938494682312
000595.SZ,2025-12-30,-0.0021799993701279163
000596.SZ,2025-12-30,0.000461642281152308
000597.SZ,2025-12-30,0.00016029324615374207
000598.SZ,2025-12-30,0.0017775911837816238
000599.SZ,2025-12-30,0.009071774780750275
000600.SZ,2025-12-30,0.0003855342511087656
000601.SZ,2025-12-30,0.00011071685003116727
000603.SZ,2025-12-30,0.001761361607350409
000605.SZ,2025-12-30,0.002335636643692851
000607.SZ,2025-12-30,0.000874677614774555
000608.SZ,2025-12-30,0.006124470848590136
000609.SZ,2025-12-30,0.011382045224308968
000610.SZ,2025-12-30,0.0028508894611150026
000612.SZ,2025-12-30,-0.00023673492250964046
000615.SZ,2025-12-30,0.00514928949996829
000617.SZ,2025-12-30,-0.004570603836327791
000619.SZ,2025-12-30,0.004365877714008093
000620.SZ,2025-12-30,0.004206628073006868
000623.SZ,2025-12-30,-0.0017412388697266579
000625.SZ,2025-12-30,0.0009854984236881137
000626.SZ,2025-12-30,-0.00011225073831155896
000628.SZ,2025-12-30,-0.0035763131454586983
000629.SZ,2025-12-30,-9.929355655913241e-06
000630.SZ,2025-12-30,-0.003600753378123045
000631.SZ,2025-12-30,0.0010099394712597132
000632.SZ,2025-12-30,0.02173483930528164
000633.SZ,2025-12-30,0.0012804376892745495
000635.SZ,2025-12-30,0.001442830078303814
000636.SZ,2025-12-30,0.0014967424795031548
000637.SZ,2025-12-30,0.005503391847014427
