code,pred_date,pred_return_FreTS,pred_return_PatchTST,pred_return_WPMixer,pred_return_iTransformer,rank_FreTS,rank_PatchTST,rank_WPMixer,rank_iTransformer,rank_sum,rank_sum_rank
603869.SH,2025-12-30,0.005033547058701515,0.0029108717571944,0.00571761280298233,0.0010528240818530321,409.0,378.0,206.0,29.0,1022.0,24.0
000571.SZ,2025-12-30,0.010120009072124958,0.006381550338119268,0.0020615526009351015,-0.0011157980188727379,79.0,111.0,750.0,116.0,1056.0,26.0
601616.SH,2025-12-30,0.00839478150010109,0.002388274297118187,0.005296135786920786,-0.0024004837032407522,137.0,449.0,234.0,266.0,1086.0,27.0
000833.SZ,2025-12-30,0.014542113058269024,0.0032430575229227543,0.0047185686416924,-0.0035349964164197445,31.0,336.0,294.0,453.0,1114.0,28.0
000419.SZ,2025-12-30,0.007490013260394335,0.002960293786600232,0.004403800703585148,-0.002347027650102973,183.0,373.0,327.0,254.0,1137.0,29.0
600692.SH,2025-12-30,0.009954108856618404,0.003961090464144945,0.002622081432491541,-0.0016714651137590408,87.0,247.0,634.0,173.0,1141.0,30.0
600115.SH,2025-12-30,0.0045708781108260155,0.0032270513474941254,0.004170066211372614,-0.00015664129750803113,463.0,339.0,360.0,57.0,1219.0,31.0
600302.SH,2025-12-30,0.005302723031491041,0.011981591582298279,0.011134914122521877,-0.005317793693393469,372.0,22.0,45.0,795.0,1234.0,32.0
600969.SH,2025-12-30,0.005350752267986536,0.005025840830057859,0.004827088676393032,-0.003364094067364931,370.0,167.0,284.0,432.0,1253.0,33.0
603356.SH,2025-12-30,0.007934635505080223,0.007707775570452213,0.010927517898380756,-0.006461025215685368,153.0,69.0,49.0,983.0,1254.0,34.0
603353.SH,2025-12-30,0.009370850399136543,0.00914192758500576,0.008883794769644737,-0.006756385788321495,103.0,46.0,78.0,1031.0,1258.0,35.0
000501.SZ,2025-12-30,0.008815130218863487,0.0031193015165627003,0.004236230161041021,-0.003636621404439211,124.0,351.0,347.0,468.0,1290.0,36.0
000735.SZ,2025-12-30,0.01580353081226349,0.015921689569950104,0.012119731865823269,-0.008214602246880531,24.0,5.0,32.0,1235.0,1296.0,37.0
002524.SZ,2025-12-30,0.007057287264615297,0.002657537814229727,0.003231184557080269,-0.0019600505474954844,206.0,408.0,502.0,205.0,1321.0,38.0
603880.SH,2025-12-30,0.007042988203465939,0.0031530314590781927,0.004247887525707483,-0.0033986996859312057,207.0,347.0,345.0,435.0,1334.0,39.0
603001.SH,2025-12-30,0.002442054683342576,0.0038486127741634846,0.006323234178125858,0.00210221647284925,899.0,258.0,166.0,16.0,1339.0,40.0
002713.SZ,2025-12-30,0.00588634330779314,0.011453785002231598,0.0012466723565012217,0.0067225126549601555,319.0,25.0,992.0,5.0,1341.0,41.0
