size,models,num_windows,mean_test_cumulative_return_pct,std_test_cumulative_return_pct,min_test_cumulative_return_pct,max_test_cumulative_return_pct,mean_test_annualized_return_pct,mean_test_max_drawdown_pct,mean_test_sharpe,mean_test_win_rate_pct,mean_test_profit_factor
4,"FreTS,PatchTST,WPMixer,iTransformer",22,16.962284545197704,76.67418557366919,-40.9090134706949,311.1461575564385,1616.1807303050691,35.215988923926524,14.621140289318015,48.7338637481098,1.1159155434705978
3,"DLinear,LightTS,iTransformer",22,13.637688807591717,57.17972266699509,-81.90206860599415,194.61663759624963,525.1504145303717,38.19190778529251,4.259852837476099,49.58423553734179,1.067381604091649
3,"FreTS,TimeMixer,iTransformer",22,11.829459003268694,60.052124750327835,-69.85564154854374,225.90445787924017,670.041179988554,36.664823157122676,7.174398048928202,48.57051885778065,1.1103011235350642
2,"LightTS,iTransformer",22,9.249868314206605,108.02512206460673,-66.61890010859116,480.08994066182265,5729.908328301561,40.2329850511453,33.54546780834897,46.86313211119323,0.9485987713238518
4,"FreTS,TimeMixer,WPMixer,iTransformer",22,8.150332198576182,76.19432091721389,-59.41549500309945,275.3833256944904,1225.560312908039,36.72982687495619,12.73937524644215,48.05489637875957,1.0984690837685924
2,"FreTS,iTransformer",22,7.730813822550413,73.49280377211764,-80.27738616422113,308.96935565000246,1417.292745782001,38.05462560320592,9.959987920566098,46.53099534244947,0.9722170023819113
3,"PatchTST,WPMixer,iTransformer",22,7.2731407357501405,71.30073873456797,-68.35833883185714,221.1264029227888,908.2743472879694,39.25573458115437,8.24248236144961,49.32146925568458,1.0034684510000824
3,"FreTS,WPMixer,iTransformer",22,6.651990401775733,57.87688769617691,-54.80860261083214,212.37570436481974,549.3471410580149,37.44001222381727,5.196738199343582,48.2082840985664,1.0220541367458271
4,"DLinear,LightTS,PatchTST,iTransformer",22,6.018122853555867,48.790535793575955,-71.81819513079975,173.78955220274483,328.4754612902033,35.45260411939881,3.2148462073529527,49.08199549725261,1.0782562634902322
4,"FreTS,PatchTST,TimeMixer,iTransformer",22,5.983790497023744,56.65001029252783,-64.06215489205722,208.37370231887977,511.35293528463876,37.070531503231706,5.383443507162411,47.73554274653489,1.0749464257276944
4,"FiLM,FreTS,WPMixer,iTransformer",22,5.596577612367912,54.01642764653487,-66.67777054390022,140.72716099308198,340.42195478877824,37.10269638423456,3.5151034002822255,47.826423333037845,1.066979016275009
4,"DLinear,PatchTST,TimeMixer,iTransformer",22,5.191788113029746,63.98134723270033,-72.36400875465166,251.0979837660525,799.7224744076971,36.32739665772704,8.009598877928296,47.1238149251161,1.0803574966754443
3,"DLinear,FreTS,iTransformer",22,4.72751571984009,59.64615125578377,-79.06227550196725,238.826603395739,679.2285183816113,38.187295493418674,4.861423866496927,47.466684334955424,1.029113310225543
2,"DLinear,iTransformer",22,3.9740375522246847,67.0194343397842,-85.77261189086393,274.99202972926287,1009.4626334830322,40.12548290858089,6.353126295098815,48.23507582355132,1.021914958924187
4,"DLinear,FreTS,TimeMixer,iTransformer",22,3.7342668555764775,65.53448905392581,-56.66932686984576,273.7480221685081,974.1246581228264,36.361960506671736,9.956564104467766,49.03654904306647,1.0171264067502175
5,"FiLM,FreTS,PatchTST,WPMixer,iTransformer",22,3.4927130288766546,52.673082094442265,-74.8097735935143,166.05916104408396,349.3452669586867,34.82530554098659,3.5719850849357915,46.93230747196092,1.0540843383526175
3,"PatchTST,TimeMixer,iTransformer",22,3.4694931747626283,76.23123427573441,-73.66853214806704,299.84405705948154,1366.0498521178454,39.784398108411786,10.743132494906005,48.53120575223974,0.9893193025931221
3,"FreTS,PatchTST,iTransformer",22,2.363869925903248,49.63286276656874,-63.39995225756532,190.63943747385088,363.64947539279314,37.03660769555075,2.774597910350147,46.58540881778101,0.9880525973059818
4,"FreTS,LightTS,WPMixer,iTransformer",22,1.5997928417052536,61.488862102333684,-62.64951940101465,250.76646067427032,757.6323166915583,39.10925712614047,6.751021318428343,47.844222989274165,1.0072907451951436
4,"DLinear,FreTS,PatchTST,TimeMixer",22,1.4577427583957387,53.08663857292578,-55.86458013325991,224.17160470614493,526.5911963001046,35.81581324096403,4.885795167699547,46.68993393902265,0.9855439097020396
4,"FiLM,PatchTST,WPMixer,iTransformer",22,0.7860977401176218,47.41135697971394,-79.0402167157588,117.9009040305824,197.54535458126063,37.99717773593695,1.982711780657845,47.62837921675666,1.008419158161292
5,"DLinear,LightTS,PatchTST,TimeMixer,iTransformer",22,0.6863215230980985,53.66985273389948,-58.94178430210577,185.92554420769042,380.1838325085844,36.9637810271927,4.371894627802974,47.24261737065403,1.0328209831360602
3,"FiLM,PatchTST,iTransformer",22,0.6719690739754983,42.18910826260728,-75.71280648721086,60.68745711167234,129.81880974794063,36.698377140200094,1.3765132114303795,48.36900288515611,1.0185205791253547
5,"DLinear,FreTS,PatchTST,TimeMixer,WPMixer",22,0.2859858860773405,44.41118647986549,-51.900980796760464,165.90905674610624,252.70704209227878,34.16851718199939,2.6770932614047194,46.492994318596466,1.0196520858911855
4,"DLinear,FreTS,LightTS,iTransformer",22,-0.6656822749624318,38.0169552948389,-76.74371149689206,101.46802000336822,112.54887776950505,36.26121049731524,1.1732453175096103,47.75139485759044,1.0006128289206844
3,"FiLM,FreTS,iTransformer",22,-0.8995466803790898,43.2854639933831,-46.03382991322824,135.5485827344179,189.24258185234456,35.936911971149826,1.9987696407524955,47.55309767723638,1.0167612352976774
